instant,yr,mnth,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,income_level,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded,temp_hum_interaction,casual_registered_ratio,high_temp,user_experience_score,avg_rentals
32.0,0.0,1.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,54683,1,10,95,6,2,0,0,0.284,0.0,0,11,189.6654621750787
33.0,0.0,1.0,0.0,2.0,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,57130,3,3,91,5,0,1,0,0.2888,0.05,0,6,189.21590643274854
34.0,0.0,1.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,28152,3,6,69,5,0,0,0,0.2916,0.14893617021276595,0,9,189.6654621750787
35.0,0.0,1.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,54742,2,4,70,6,1,1,1,0.2556,0.2909090909090909,0,6,189.21590643274854
36.0,0.0,1.0,0.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,89782,3,1,11,6,2,0,0,0.2376,0.2702702702702703,0,4,189.6654621750787
37.0,0.0,1.0,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,37682,5,8,54,6,1,1,1,0.2376,0.16923076923076924,0,13,189.21590643274854
38.0,0.0,1.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,28129,2,4,17,2,0,0,0,0.2736,0.07142857142857142,0,6,189.6654621750787
39.0,0.0,1.0,0.0,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,22266,2,5,1,5,1,1,0,0.27540000000000003,0.3392857142857143,0,7,189.21590643274854
40.0,0.0,1.0,0.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,25246,5,1,87,10,2,1,1,0.2414,0.1323529411764706,0,6,189.21590643274854
41.0,0.0,1.0,0.0,1.0,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,56514,5,10,92,3,0,0,0,0.1938,0.11864406779661017,0,15,189.6654621750787
42.0,0.0,1.0,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,29143,5,6,65,5,2,0,0,0.1656,0.22727272727272727,0,11,189.6654621750787
43.0,0.0,1.0,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,91905,3,3,66,9,0,1,1,0.1344,0.03333333333333333,0,6,189.21590643274854
44.0,0.0,1.0,0.0,1.0,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,22718,2,2,2,9,2,0,0,0.11699999999999999,0.2777777777777778,0,4,189.6654621750787
45.0,0.0,1.0,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,27442,3,10,73,6,2,1,1,0.1144,0.5238095238095238,0,13,189.21590643274854
46.0,0.0,1.0,0.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,60078,1,10,79,5,0,0,0,0.1056,0.0,0,11,189.6654621750787
47.0,0.0,1.0,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,71672,2,7,91,10,1,0,1,0.10339999999999999,0.0,0,9,189.6654621750787
48.0,0.0,1.0,1.0,1.0,0.22,0.197,0.44,0.3582,0.0,5.0,,49913,2,9,55,6,0,1,0,0.0968,0.0,0,11,189.21590643274854
49.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,26652,3,5,12,2,1,1,1,0.08800000000000001,0.0,0,8,189.21590643274854
50.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,20295,1,7,65,10,2,1,0,0.0752,0.0,0,8,189.21590643274854
51.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,,0.0,3.0,3.0,50194,5,2,7,5,1,0,1,0.0752,0.0,0,7,189.6654621750787
52.0,0.0,1.0,1.0,1.0,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,67902,3,9,17,1,2,1,0,0.07,0.0,0,12,189.21590643274854
53.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,44045,1,7,71,9,1,0,1,0.07,0.015625,0,8,189.6654621750787
54.0,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,67072,2,10,50,8,2,1,0,0.07,0.006493506493506494,0,12,189.21590643274854
55.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,23497,5,5,19,3,2,1,1,0.0688,0.08536585365853659,0,10,189.21590643274854
56.0,0.0,1.0,,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,82755,5,2,28,7,1,1,0,0.0774,0.3235294117647059,0,7,189.21590643274854
57.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,76327,2,6,62,6,2,1,1,0.08000000000000002,0.23809523809523808,0,8,189.21590643274854
58.0,0.0,1.0,1.0,1.0,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,70756,4,7,37,10,1,0,1,0.077,0.2653061224489796,0,11,189.6654621750787
59.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,72692,3,8,8,5,1,1,1,0.08399999999999999,0.14814814814814814,0,11,189.21590643274854
60.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,80484,3,4,20,4,2,0,1,0.078,0.16417910447761194,0,7,189.6654621750787
61.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,25656,3,6,49,9,1,1,1,0.078,0.23728813559322035,0,9,189.21590643274854
62.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,91399,5,1,15,6,1,0,0,0.078,0.1323529411764706,0,6,189.6654621750787
63.0,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,22852,4,10,14,8,0,1,0,0.072,0.07482993197278912,0,14,189.21590643274854
64.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,34565,5,4,53,8,0,0,1,0.0768,0.06040268456375839,0,9,189.6654621750787
65.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,31413,5,6,48,8,0,0,0,0.094,0.07766990291262135,0,11,189.6654621750787
66.0,0.0,1.0,1.0,1.0,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,96406,2,5,75,6,2,1,0,0.094,0.06,0,7,189.21590643274854
67.0,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,51462,2,1,6,2,1,0,1,0.1152,0.06,0,3,189.6654621750787
68.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,91334,2,9,94,8,2,0,0,0.0966,0.0,0,11,189.6654621750787
69.0,0.0,1.0,,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,39615,1,8,58,6,2,0,0,0.099,0.08333333333333333,0,9,189.6654621750787
70.0,0.0,1.0,2.0,1.0,0.16,,0.55,0.1045,0.0,5.0,5.0,89378,3,10,2,2,0,0,0,0.08800000000000001,0.0,0,13,189.6654621750787
71.0,0.0,1.0,2.0,1.0,0.16,,0.59,0.1045,0.0,2.0,2.0,90307,4,6,24,9,1,0,0,0.0944,0.0,0,10,189.6654621750787
72.0,0.0,1.0,2.0,1.0,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0,58485,2,5,8,8,1,1,1,0.08820000000000001,0.0,0,7,189.21590643274854
,0.0,1.0,2.0,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,63811,5,8,98,3,1,0,1,0.08820000000000001,0.0,0,13,189.6654621750787
74.0,0.0,1.0,2.0,1.0,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,46610,4,1,20,5,0,1,0,0.0816,0.0,0,5,189.21590643274854
75.0,0.0,1.0,2.0,1.0,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0,82205,5,10,91,1,2,1,1,0.08879999999999999,0.0,0,15,189.21590643274854
76.0,0.0,1.0,2.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,30418,4,5,8,8,1,1,1,0.08879999999999999,0.021505376344086023,0,9,189.21590643274854
77.0,0.0,1.0,2.0,1.0,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0,58987,4,5,39,2,0,1,1,0.0966,0.011235955056179775,0,9,189.21590643274854
78.0,0.0,1.0,2.0,1.0,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,64949,5,9,36,8,1,1,1,0.1024,0.020202020202020204,0,14,189.21590643274854
79.0,0.0,1.0,2.0,2.0,0.16,0.1364,0.69,0.3284,5.0,37.0,,47528,3,2,24,1,0,0,0,0.1104,0.13157894736842105,0,5,189.6654621750787
80.0,0.0,1.0,2.0,1.0,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0,45268,2,9,94,7,1,0,0,0.11220000000000001,0.13725490196078433,0,11,189.6654621750787
81.0,0.0,1.0,2.0,1.0,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0,50648,1,4,52,3,1,1,1,0.11220000000000001,0.1791044776119403,0,5,189.21590643274854
82.0,0.0,1.0,2.0,1.0,0.24,0.2273,0.56,0.194,18.0,79.0,97.0,89412,3,5,19,1,1,0,1,0.13440000000000002,0.225,0,8,189.6654621750787
83.0,0.0,1.0,2.0,1.0,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,86433,4,4,26,10,2,0,1,0.13520000000000001,0.16363636363636364,0,8,189.6654621750787
84.0,0.0,1.0,2.0,1.0,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,96551,1,9,29,5,2,0,0,0.1456,0.3469387755102041,0,10,189.6654621750787
85.0,0.0,1.0,2.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,65037,5,2,17,3,2,1,0,0.147,0.21739130434782608,0,7,189.21590643274854
,0.0,1.0,2.0,1.0,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,24865,3,3,26,7,2,0,1,0.13440000000000002,0.04926108374384237,0,6,189.6654621750787
87.0,0.0,1.0,2.0,1.0,0.26,0.2576,0.48,0.194,3.0,179.0,,92076,2,3,38,10,2,1,0,0.1248,0.016666666666666666,0,5,189.21590643274854
88.0,0.0,1.0,,1.0,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0,53744,5,2,11,3,1,1,1,0.1152,0.018018018018018018,0,7,189.21590643274854
89.0,0.0,1.0,2.0,1.0,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,38136,2,4,28,9,2,0,0,0.1152,0.018518518518518517,0,6,189.6654621750787
90.0,0.0,1.0,2.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,45709,3,1,25,9,2,0,1,0.1408,0.0,0,4,189.6654621750787
91.0,0.0,1.0,2.0,1.0,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0,87532,2,4,66,7,1,1,0,0.1408,0.02857142857142857,0,6,189.21590643274854
92.0,0.0,1.0,2.0,1.0,0.2,0.2273,,0.0896,2.0,9.0,11.0,45049,5,8,97,7,0,0,1,,0.2,0,13,189.6654621750787
93.0,0.0,1.0,3.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0,57109,5,5,20,9,1,0,1,0.128,0.0,0,10,189.6654621750787
94.0,0.0,1.0,3.0,1.0,0.16,0.197,0.74,0.0896,0.0,6.0,6.0,69277,3,6,14,3,1,0,0,0.1184,0.0,0,9,189.6654621750787
95.0,0.0,1.0,3.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,70335,5,10,90,8,0,1,0,0.1184,0.0,0,15,189.21590643274854
96.0,0.0,1.0,3.0,1.0,,0.2273,0.48,0.2239,0.0,2.0,2.0,46618,2,9,12,4,0,0,1,,0.0,0,11,189.6654621750787
97.0,0.0,1.0,3.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,60879,3,7,25,3,0,1,1,0.10339999999999999,0.0,0,10,189.21590643274854
98.0,0.0,1.0,3.0,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,66171,3,2,39,5,2,1,1,0.094,0.0,0,5,189.21590643274854
99.0,0.0,1.0,3.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,77522,1,9,21,10,1,0,0,0.0774,0.011363636363636364,0,10,189.6654621750787
100.0,0.0,1.0,3.0,1.0,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,56957,2,10,87,4,0,0,1,0.08000000000000002,0.015544041450777202,0,12,189.6654621750787
101.0,0.0,1.0,3.0,1.0,0.22,0.197,0.37,0.3284,6.0,109.0,115.0,94811,4,5,70,2,2,0,0,0.0814,0.05454545454545454,0,9,189.6654621750787
102.0,0.0,1.0,3.0,1.0,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,45834,1,9,29,10,0,0,0,0.0814,0.07407407407407407,0,10,189.6654621750787
103.0,0.0,1.0,3.0,1.0,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0,22868,4,4,62,5,0,1,0,0.0858,0.34285714285714286,0,8,189.21590643274854
104.0,0.0,1.0,3.0,1.0,0.26,0.2273,0.33,0.3284,,74.0,79.0,99115,5,3,68,7,1,1,0,0.0858,,0,8,189.21590643274854
105.0,0.0,1.0,3.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,77355,2,9,44,4,2,0,0,0.084,0.09090909090909091,0,11,189.6654621750787
106.0,0.0,1.0,3.0,1.0,0.3,0.2879,0.28,0.194,10.0,52.0,62.0,36384,5,10,85,10,0,0,1,0.084,0.18867924528301888,0,15,189.6654621750787
107.0,0.0,1.0,3.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,57338,3,5,71,6,2,1,1,0.084,0.125,0,8,189.21590643274854
108.0,0.0,1.0,3.0,1.0,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,54532,5,8,11,1,1,0,1,0.084,0.046511627906976744,0,13,189.6654621750787
109.0,0.0,1.0,3.0,1.0,0.24,0.2273,0.38,0.194,4.0,186.0,190.0,26394,5,6,85,8,1,1,1,0.0912,0.0213903743315508,0,11,189.21590643274854
110.0,0.0,1.0,3.0,1.0,0.24,0.2424,0.38,0.1343,3.0,166.0,169.0,65293,1,4,82,5,2,1,0,0.0912,0.017964071856287425,0,5,189.21590643274854
111.0,0.0,1.0,3.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,33151,4,6,9,7,1,1,1,0.0912,0.0390625,0,10,189.21590643274854
112.0,0.0,1.0,3.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,75571,5,7,54,7,0,0,0,0.10339999999999999,0.08433734939759036,0,12,189.6654621750787
113.0,0.0,1.0,3.0,1.0,0.2,0.197,0.51,0.194,3.0,40.0,43.0,92106,1,1,25,9,1,0,0,0.10200000000000001,0.07317073170731707,0,2,189.6654621750787
114.0,0.0,1.0,3.0,1.0,0.18,0.197,0.55,0.1343,1.0,41.0,42.0,52155,4,7,69,2,1,0,1,0.099,0.023809523809523808,0,11,189.6654621750787
115.0,0.0,1.0,3.0,1.0,0.2,0.2576,0.47,0.0,1.0,18.0,19.0,90406,1,4,44,1,2,0,1,0.094,0.05263157894736842,0,5,189.6654621750787
116.0,0.0,1.0,4.0,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0,49365,4,4,52,1,0,0,0,0.099,0.0,0,8,189.6654621750787
117.0,0.0,1.0,4.0,1.0,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,45300,1,9,46,4,0,1,0,0.1024,0.0,0,10,189.21590643274854
118.0,0.0,1.0,4.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0,49509,5,3,89,4,1,1,1,0.1024,0.0,0,8,189.21590643274854
119.0,0.0,1.0,4.0,2.0,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,83536,1,3,100,5,0,1,1,0.1024,0.0,0,4,189.21590643274854
120.0,0.0,1.0,4.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,24298,1,10,98,9,0,1,0,0.0966,0.0,0,11,189.21590643274854
121.0,0.0,1.0,4.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0,42482,2,3,82,2,0,1,0,0.08820000000000001,0.0,0,5,189.21590643274854
122.0,0.0,1.0,4.0,2.0,0.16,0.2273,,0.0,0.0,95.0,95.0,21715,5,8,57,1,2,0,1,,0.0,0,13,189.6654621750787
123.0,,1.0,,1.0,0.16,0.2273,0.59,0.0,,216.0,219.0,85390,1,9,69,2,2,0,0,0.0944,,0,10,189.6654621750787
124.0,0.0,1.0,4.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0,98862,2,3,94,5,0,1,0,0.09179999999999999,0.05128205128205128,0,5,189.21590643274854
125.0,0.0,1.0,4.0,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0,31665,3,7,35,3,0,1,0,0.094,0.06976744186046512,0,10,189.21590643274854
126.0,0.0,1.0,4.0,1.0,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0,54795,3,2,41,8,1,0,0,0.0968,0.034482758620689655,0,5,189.6654621750787
127.0,0.0,1.0,4.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,84.0,30972,1,3,39,2,0,1,1,0.091,0.0759493670886076,0,4,189.21590643274854
128.0,0.0,1.0,4.0,1.0,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0,52765,3,4,61,5,2,0,1,0.091,0.21428571428571427,0,7,189.6654621750787
129.0,0.0,1.0,4.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0,43452,1,8,42,6,1,0,0,0.1008,0.18333333333333332,0,9,189.6654621750787
130.0,0.0,1.0,4.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,62.0,23234,4,9,31,9,1,0,0,0.1008,0.14545454545454545,0,13,189.6654621750787
131.0,0.0,1.0,4.0,1.0,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0,82465,5,7,10,6,1,1,1,0.0988,0.16,0,12,189.21590643274854
132.0,,1.0,4.0,1.0,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0,82983,3,7,96,5,2,0,0,0.11220000000000001,0.054878048780487805,0,10,189.6654621750787
133.0,0.0,1.0,4.0,1.0,,0.2273,0.51,,5.0,158.0,163.0,63988,1,9,20,2,0,0,0,,0.031446540880503145,0,10,189.6654621750787
134.0,0.0,1.0,4.0,1.0,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0,75883,1,8,28,4,1,1,1,0.12100000000000001,0.02727272727272727,0,9,189.21590643274854
135.0,0.0,1.0,4.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0,42038,5,8,21,6,0,1,1,0.10200000000000001,0.04477611940298507,0,13,189.21590643274854
136.0,0.0,1.0,4.0,2.0,,0.2121,0.55,0.2239,0.0,48.0,48.0,98351,2,6,11,2,1,1,1,,0.0,0,8,189.21590643274854
137.0,0.0,1.0,4.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0,56659,2,2,39,9,2,0,0,0.11220000000000001,0.019230769230769232,0,4,189.6654621750787
138.0,0.0,1.0,4.0,2.0,0.2,0.197,0.59,0.194,4.0,19.0,23.0,95879,4,2,96,5,0,1,0,0.118,0.2,0,6,189.21590643274854
139.0,0.0,1.0,5.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0,22487,3,2,32,4,2,1,1,0.128,0.2857142857142857,0,5,189.21590643274854
140.0,0.0,1.0,5.0,2.0,0.2,0.197,0.69,0.2239,2.0,5.0,7.0,57978,1,7,72,8,1,1,0,0.13799999999999998,0.3333333333333333,0,8,189.21590643274854
,0.0,1.0,5.0,2.0,0.2,0.197,0.69,0.2239,0.0,1.0,1.0,72848,4,5,98,9,0,1,1,0.13799999999999998,0.0,0,9,189.21590643274854
142.0,0.0,1.0,5.0,2.0,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0,94479,4,2,57,6,0,1,0,0.13799999999999998,0.0,0,6,189.21590643274854
143.0,0.0,1.0,5.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0,30446,2,7,48,8,1,0,0,0.12100000000000001,0.0,0,9,189.6654621750787
144.0,0.0,1.0,5.0,2.0,0.2,0.2576,0.69,0.0,8.0,26.0,34.0,70581,5,4,77,1,2,1,0,0.13799999999999998,0.2962962962962963,0,9,189.21590643274854
145.0,0.0,1.0,5.0,1.0,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0,76694,3,6,65,5,2,1,1,0.13799999999999998,0.1038961038961039,0,9,189.21590643274854
146.0,0.0,1.0,5.0,1.0,0.2,0.197,0.51,0.2537,20.0,190.0,,24493,4,5,94,8,2,1,0,0.10200000000000001,0.10471204188481675,0,9,189.21590643274854
147.0,0.0,1.0,5.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0,32526,1,4,36,5,1,0,1,0.094,0.07142857142857142,0,5,189.6654621750787
148.0,0.0,1.0,5.0,1.0,0.22,0.197,0.37,0.3284,,47.0,63.0,76451,3,2,49,7,1,0,1,0.0814,,0,5,189.6654621750787
149.0,0.0,1.0,5.0,2.0,0.2,0.197,0.4,0.2239,19.0,48.0,67.0,38397,3,8,21,4,1,1,1,0.08000000000000002,0.3877551020408163,0,11,189.21590643274854
150.0,0.0,1.0,5.0,2.0,0.2,0.197,0.37,0.2537,9.0,50.0,59.0,40202,4,8,95,9,0,1,1,0.074,0.17647058823529413,0,12,189.21590643274854
