instant,yr,mnth,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,income_level,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded
41.0,0.0,1.0,0.0,1.0,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,90410,3,5,16,6,1,1,0
42.0,0.0,1.0,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,68156,4,1,65,7,0,1,0
43.0,0.0,1.0,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,35445,4,1,45,3,2,1,0
44.0,0.0,1.0,0.0,1.0,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,51967,3,2,92,7,0,1,1
45.0,0.0,1.0,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,55179,5,2,43,3,1,1,0
46.0,0.0,1.0,0.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,69120,4,6,9,7,1,1,0
47.0,0.0,1.0,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,95588,3,8,47,3,0,0,0
48.0,0.0,1.0,1.0,1.0,0.22,0.197,0.44,0.3582,0.0,5.0,,30477,5,10,52,1,0,0,0
49.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,87645,4,3,93,8,1,1,1
50.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,54525,3,2,41,1,2,1,1
51.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,,0.0,3.0,3.0,92197,4,4,3,6,0,0,0
52.0,0.0,1.0,1.0,1.0,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,26903,5,3,60,3,2,1,0
53.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,97223,2,4,24,5,2,0,0
54.0,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,99486,5,7,29,4,1,0,0
55.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,75015,4,3,72,5,1,0,0
56.0,0.0,1.0,,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,50577,4,6,44,6,1,0,1
57.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,89632,5,10,92,10,0,1,0
58.0,0.0,1.0,1.0,1.0,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,34487,4,4,17,1,0,1,0
59.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,72166,1,10,2,3,1,1,1
60.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,55271,5,10,6,8,0,1,1
61.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,52936,5,3,44,1,0,0,0
62.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,34537,1,10,59,4,1,1,1
63.0,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,41554,2,5,8,7,0,1,0
64.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,56588,4,9,77,8,2,0,1
65.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,43807,5,7,35,3,1,0,1
66.0,0.0,1.0,1.0,1.0,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,57134,3,6,75,9,1,0,1
67.0,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,78717,4,8,48,6,0,1,1
68.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,66214,2,3,22,4,0,1,0
69.0,0.0,1.0,,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,95971,5,7,12,9,0,1,1
70.0,0.0,1.0,2.0,1.0,0.16,,0.55,0.1045,0.0,5.0,5.0,85572,2,1,40,6,1,0,1
71.0,0.0,1.0,2.0,1.0,0.16,,0.59,0.1045,0.0,2.0,2.0,46408,2,8,86,5,2,0,0
72.0,0.0,1.0,2.0,1.0,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0,72869,4,2,89,8,0,1,0
,0.0,1.0,2.0,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,35276,3,8,74,6,0,1,0
74.0,0.0,1.0,2.0,1.0,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,66849,1,7,19,1,0,1,1
75.0,0.0,1.0,2.0,1.0,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0,75874,5,5,55,4,1,0,0
76.0,0.0,1.0,2.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,75323,2,7,56,1,2,1,0
77.0,0.0,1.0,2.0,1.0,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0,59463,2,6,22,9,1,1,1
78.0,0.0,1.0,2.0,1.0,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,97639,1,2,100,1,0,0,0
79.0,0.0,1.0,2.0,2.0,0.16,0.1364,0.69,0.3284,5.0,37.0,,82868,3,3,66,6,2,0,0
80.0,0.0,1.0,2.0,1.0,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0,32205,3,2,4,4,1,0,1
81.0,0.0,1.0,2.0,1.0,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0,32830,5,5,77,5,2,1,1
82.0,0.0,1.0,2.0,1.0,0.24,0.2273,0.56,0.194,18.0,79.0,97.0,90673,1,2,85,10,2,0,0
83.0,0.0,1.0,2.0,1.0,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,45629,1,9,95,10,0,1,0
84.0,0.0,1.0,2.0,1.0,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,65941,2,6,34,1,2,1,0
85.0,0.0,1.0,2.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,88692,1,5,88,3,2,1,0
,0.0,1.0,2.0,1.0,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,63493,5,6,89,5,2,1,1
87.0,0.0,1.0,2.0,1.0,0.26,0.2576,0.48,0.194,3.0,179.0,,88564,1,3,85,2,1,1,0
88.0,0.0,1.0,,1.0,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0,43192,4,3,82,4,0,0,0
89.0,0.0,1.0,2.0,1.0,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,48020,2,4,61,9,0,0,1
90.0,0.0,1.0,2.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,95672,4,6,6,7,2,0,1
91.0,0.0,1.0,2.0,1.0,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0,26847,5,5,21,5,1,0,0
92.0,0.0,1.0,2.0,1.0,0.2,0.2273,,0.0896,2.0,9.0,11.0,92061,1,9,31,1,1,0,1
93.0,0.0,1.0,3.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0,60332,4,1,8,4,2,0,1
94.0,0.0,1.0,3.0,1.0,0.16,0.197,0.74,0.0896,0.0,6.0,6.0,95945,1,9,51,4,0,1,1
95.0,0.0,1.0,3.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,65939,1,7,5,6,0,1,1
96.0,0.0,1.0,3.0,1.0,,0.2273,0.48,0.2239,0.0,2.0,2.0,41487,2,2,44,2,1,1,1
97.0,0.0,1.0,3.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,50871,4,2,86,4,0,0,1
98.0,0.0,1.0,3.0,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,63094,3,4,23,8,2,1,1
99.0,0.0,1.0,3.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,74182,3,4,62,2,1,1,0
100.0,0.0,1.0,3.0,1.0,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,78621,5,3,36,10,2,0,0
101.0,0.0,1.0,3.0,1.0,0.22,0.197,0.37,0.3284,6.0,109.0,115.0,42175,4,8,29,4,2,1,1
102.0,0.0,1.0,3.0,1.0,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,34279,4,2,13,7,1,0,0
103.0,0.0,1.0,3.0,1.0,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0,93999,3,6,33,8,1,0,0
104.0,0.0,1.0,3.0,1.0,0.26,0.2273,0.33,0.3284,,74.0,79.0,28499,5,7,59,10,2,0,0
105.0,0.0,1.0,3.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,27088,4,3,16,9,0,1,1
106.0,0.0,1.0,3.0,1.0,0.3,0.2879,0.28,0.194,10.0,52.0,62.0,66702,3,9,53,7,2,0,0
107.0,0.0,1.0,3.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,55324,4,1,27,1,0,1,1
108.0,0.0,1.0,3.0,1.0,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,30006,1,9,22,9,0,0,1
109.0,0.0,1.0,3.0,1.0,0.24,0.2273,0.38,0.194,4.0,186.0,190.0,69410,5,7,88,10,2,1,1
110.0,0.0,1.0,3.0,1.0,0.24,0.2424,0.38,0.1343,3.0,166.0,169.0,91986,5,1,94,6,0,0,0
111.0,0.0,1.0,3.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,29650,3,5,80,4,1,1,0
112.0,0.0,1.0,3.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,46136,2,9,83,2,2,1,1
113.0,0.0,1.0,3.0,1.0,0.2,0.197,0.51,0.194,3.0,40.0,43.0,76462,4,10,4,1,2,0,0
114.0,0.0,1.0,3.0,1.0,0.18,0.197,0.55,0.1343,1.0,41.0,42.0,71494,2,9,72,10,0,0,0
115.0,0.0,1.0,3.0,1.0,0.2,0.2576,0.47,0.0,1.0,18.0,19.0,74680,1,1,96,6,2,0,1
116.0,0.0,1.0,4.0,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0,91697,3,9,85,4,0,1,1
117.0,0.0,1.0,4.0,1.0,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,91007,3,6,28,8,0,0,1
118.0,0.0,1.0,4.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0,60516,3,7,67,4,0,1,1
119.0,0.0,1.0,4.0,2.0,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,81583,4,4,85,2,2,0,0
120.0,0.0,1.0,4.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,51204,4,4,58,10,0,1,0
121.0,0.0,1.0,4.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0,39845,4,3,98,6,2,0,0
122.0,0.0,1.0,4.0,2.0,0.16,0.2273,,0.0,0.0,95.0,95.0,52736,3,4,1,1,2,0,0
123.0,,1.0,,1.0,0.16,0.2273,0.59,0.0,,216.0,219.0,42610,1,10,62,4,2,1,0
124.0,0.0,1.0,4.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0,35606,2,6,68,9,1,0,1
125.0,0.0,1.0,4.0,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0,47617,1,9,67,5,2,1,0
126.0,0.0,1.0,4.0,1.0,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0,43111,3,6,42,8,0,1,0
127.0,0.0,1.0,4.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,84.0,52373,1,1,19,8,0,0,1
128.0,0.0,1.0,4.0,1.0,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0,22885,1,1,63,9,2,1,0
129.0,0.0,1.0,4.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0,80877,5,3,83,5,1,1,1
130.0,0.0,1.0,4.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,62.0,56188,1,6,85,10,0,0,1
131.0,0.0,1.0,4.0,1.0,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0,75968,2,2,17,1,1,1,0
132.0,,1.0,4.0,1.0,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0,58951,2,3,43,2,2,1,1
133.0,0.0,1.0,4.0,1.0,,0.2273,0.51,,5.0,158.0,163.0,45283,5,10,84,10,0,0,0
134.0,0.0,1.0,4.0,1.0,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0,70293,3,10,35,4,2,0,0
135.0,0.0,1.0,4.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0,86483,3,2,65,5,2,0,0
136.0,0.0,1.0,4.0,2.0,,0.2121,0.55,0.2239,0.0,48.0,48.0,57437,2,2,85,2,2,1,0
137.0,0.0,1.0,4.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0,37614,1,1,24,7,2,0,0
138.0,0.0,1.0,4.0,2.0,0.2,0.197,0.59,0.194,4.0,19.0,23.0,79748,3,7,43,7,0,0,0
139.0,0.0,1.0,5.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0,97678,3,7,28,9,2,1,0
140.0,0.0,1.0,5.0,2.0,0.2,0.197,0.69,0.2239,2.0,5.0,7.0,29133,1,8,6,1,0,1,0
,0.0,1.0,5.0,2.0,0.2,0.197,0.69,0.2239,0.0,1.0,1.0,77382,4,6,39,8,2,0,1
142.0,0.0,1.0,5.0,2.0,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0,53165,5,4,77,9,0,1,1
143.0,0.0,1.0,5.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0,39688,4,7,5,5,1,1,0
144.0,0.0,1.0,5.0,2.0,0.2,0.2576,0.69,0.0,8.0,26.0,34.0,77232,5,10,55,3,2,1,1
145.0,0.0,1.0,5.0,1.0,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0,59792,4,10,32,3,0,1,1
146.0,0.0,1.0,5.0,1.0,0.2,0.197,0.51,0.2537,20.0,190.0,,23220,2,9,20,9,2,1,0
147.0,0.0,1.0,5.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0,72719,4,4,22,6,0,0,1
148.0,0.0,1.0,5.0,1.0,0.22,0.197,0.37,0.3284,,47.0,63.0,50462,2,1,32,9,2,1,0
149.0,0.0,1.0,5.0,2.0,0.2,0.197,0.4,0.2239,19.0,48.0,67.0,55394,1,1,26,7,1,1,1
150.0,0.0,1.0,5.0,2.0,0.2,0.197,0.37,0.2537,9.0,50.0,59.0,99875,1,10,49,1,1,0,1
151.0,0.0,1.0,5.0,2.0,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0,84966,1,2,43,3,0,1,1
152.0,0.0,1.0,5.0,2.0,0.2,0.197,0.4,0.2537,7.0,43.0,50.0,56532,3,10,5,8,0,0,1
153.0,0.0,1.0,5.0,2.0,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0,27779,4,5,16,9,1,0,1
154.0,0.0,1.0,5.0,2.0,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0,39340,4,6,91,3,0,0,0
155.0,,1.0,5.0,2.0,0.2,0.2576,0.37,0.0,9.0,178.0,187.0,65692,5,2,2,10,1,1,0
156.0,0.0,1.0,5.0,1.0,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0,27174,1,10,100,2,0,1,1
157.0,0.0,1.0,5.0,1.0,0.16,0.197,0.55,0.0896,3.0,92.0,95.0,21784,5,4,31,5,2,1,0
158.0,0.0,1.0,5.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0,21103,3,7,13,4,2,1,1
159.0,0.0,1.0,5.0,,0.18,0.197,,0.1343,0.0,39.0,39.0,86221,3,2,73,4,1,1,0
160.0,0.0,1.0,5.0,2.0,0.18,0.197,0.43,0.1642,2.0,34.0,36.0,97632,4,8,47,2,1,0,1
161.0,0.0,1.0,5.0,2.0,0.18,0.197,0.51,0.1642,1.0,14.0,15.0,68093,2,5,64,10,1,1,0
162.0,0.0,1.0,6.0,2.0,0.18,0.197,0.51,0.1642,1.0,24.0,25.0,91005,5,2,89,2,2,0,1
163.0,0.0,1.0,6.0,2.0,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0,49722,1,2,34,7,2,0,0
164.0,0.0,1.0,6.0,2.0,0.18,0.2424,0.55,0.0,3.0,13.0,16.0,72618,4,3,7,6,1,1,0
165.0,0.0,1.0,6.0,3.0,0.18,0.197,0.55,0.1642,0.0,7.0,7.0,46260,4,2,100,4,2,0,0
166.0,0.0,1.0,6.0,3.0,0.18,0.197,0.55,0.1642,0.0,1.0,1.0,49042,4,8,68,1,0,0,1
167.0,0.0,1.0,6.0,2.0,0.16,0.1667,0.74,0.1642,0.0,5.0,5.0,94370,1,6,82,7,0,1,1
168.0,0.0,1.0,6.0,2.0,0.16,0.1667,0.74,0.1642,0.0,2.0,,35051,1,1,35,7,1,0,0
169.0,0.0,1.0,6.0,2.0,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0,96780,5,9,55,5,0,0,1
170.0,0.0,1.0,6.0,3.0,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0,92091,2,1,87,8,0,0,0
171.0,0.0,1.0,6.0,3.0,0.16,0.1818,0.93,0.1045,0.0,20.0,20.0,87670,2,2,70,2,2,0,1
172.0,0.0,1.0,6.0,2.0,0.18,0.197,0.8,0.1642,5.0,56.0,61.0,46122,1,9,91,3,0,0,1
173.0,0.0,1.0,6.0,2.0,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0,60946,5,1,75,7,0,0,0
174.0,0.0,1.0,6.0,2.0,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0,88769,5,1,11,4,2,1,0
175.0,0.0,1.0,6.0,1.0,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0,73987,4,10,18,5,1,0,0
176.0,0.0,1.0,6.0,1.0,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0,59775,2,9,25,9,1,1,0
177.0,0.0,1.0,6.0,1.0,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0,68381,1,8,53,7,2,1,0
178.0,0.0,1.0,6.0,1.0,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0,44613,1,5,25,8,1,1,1
179.0,0.0,1.0,6.0,1.0,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0,52017,3,2,39,2,1,1,1
180.0,0.0,1.0,6.0,1.0,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0,40683,2,7,74,7,2,1,1
181.0,0.0,1.0,6.0,1.0,0.14,0.1212,0.36,0.2537,4.0,26.0,30.0,52158,1,4,82,4,0,0,1
182.0,0.0,1.0,6.0,1.0,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0,46112,1,4,23,7,1,0,0
183.0,0.0,1.0,6.0,1.0,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0,68378,1,10,36,4,1,1,0
184.0,0.0,1.0,6.0,,0.12,0.1061,0.36,0.3881,1.0,33.0,34.0,70931,1,3,100,7,0,1,1
185.0,0.0,1.0,6.0,1.0,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0,27992,3,6,60,8,1,1,0
186.0,0.0,1.0,0.0,1.0,0.1,0.0758,0.42,0.3881,1.0,24.0,25.0,54246,1,8,78,9,0,0,1
187.0,0.0,1.0,0.0,1.0,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0,96821,3,10,35,4,1,1,0
188.0,0.0,1.0,0.0,1.0,0.1,0.0606,0.46,0.4627,0.0,11.0,11.0,36059,2,10,9,4,0,1,0
189.0,0.0,1.0,0.0,,0.1,0.0758,0.46,0.4179,0.0,4.0,4.0,49539,2,1,94,10,0,1,0
190.0,0.0,1.0,0.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,1.0,48915,1,2,94,8,2,1,1
191.0,,1.0,0.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,1.0,23903,3,2,80,3,1,0,1
192.0,0.0,1.0,0.0,1.0,0.1,0.0909,0.49,0.2836,0.0,1.0,1.0,88482,1,3,37,9,0,1,0
193.0,0.0,1.0,0.0,1.0,0.08,,0.53,0.194,1.0,5.0,6.0,32065,4,8,74,5,1,1,0
194.0,0.0,1.0,0.0,1.0,0.1,0.0909,0.49,0.2836,0.0,10.0,10.0,65562,1,5,7,9,1,1,0
195.0,0.0,1.0,0.0,1.0,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0,23052,2,7,53,8,2,1,1
196.0,0.0,1.0,0.0,1.0,0.14,0.1061,0.43,0.3881,0.0,49.0,49.0,65870,5,7,57,8,1,0,0
197.0,0.0,1.0,0.0,1.0,0.16,0.1212,0.4,0.5224,2.0,47.0,49.0,85827,4,3,63,4,1,0,1
198.0,0.0,1.0,0.0,1.0,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0,60722,3,5,88,7,1,1,0
199.0,0.0,1.0,0.0,1.0,0.2,0.1667,0.34,0.4478,6.0,69.0,75.0,58044,1,2,48,1,0,0,0
200.0,0.0,1.0,0.0,1.0,0.22,0.1818,0.32,0.4627,8.0,64.0,72.0,64705,4,6,90,1,0,0,1
201.0,0.0,1.0,0.0,1.0,0.22,0.197,0.35,0.3582,5.0,77.0,82.0,78318,5,8,25,9,1,0,1
,0.0,1.0,0.0,1.0,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0,48062,5,4,10,4,2,1,0
203.0,0.0,1.0,0.0,1.0,0.18,0.1515,0.37,0.3881,3.0,59.0,62.0,95577,4,7,45,8,1,1,1
204.0,0.0,1.0,0.0,1.0,0.16,0.1364,0.4,0.3284,4.0,44.0,48.0,65057,2,5,6,10,1,0,1
205.0,0.0,1.0,0.0,1.0,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0,60553,3,3,36,10,0,1,0
206.0,0.0,1.0,0.0,1.0,0.14,0.1212,0.46,0.2537,0.0,38.0,38.0,68003,2,6,62,3,2,0,1
207.0,0.0,1.0,0.0,1.0,0.14,0.1061,0.46,0.4179,1.0,19.0,20.0,60897,3,10,77,1,2,1,0
208.0,0.0,1.0,0.0,1.0,0.14,0.1212,0.46,0.2985,5.0,10.0,15.0,61180,2,3,51,2,2,1,0
