instant,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,user_activity_level,user_type,income_level,zone_type,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access,user_activity_level_encoded,user_type_encoded,zone_type_encoded
52.0,1.0,0.1224489795918367,0.1061,0.5,0.4562125308569413,0.0,30.0,30.0,faible,frequent,79594,commercial,2,5,37,4,0,0,0
53.0,1.0,0.1224489795918367,0.1364,0.5,0.2280474903021041,1.0,63.0,64.0,moyen,occasionnel,81604,residentiel,3,5,51,1,1,1,1
54.0,1.0,0.1224489795918367,0.1212,0.5,0.333372516750911,1.0,153.0,154.0,moyen,frequent,45518,residentiel,1,6,85,10,1,0,1
55.0,1.0,0.1428571428571428,0.1364,0.43,0.4562125308569413,7.0,81.0,88.0,élevé,frequent,77417,residentiel,5,10,80,6,2,0,1
56.0,1.0,0.163265306122449,0.1667,0.43,0.298224991183731,11.0,33.0,44.0,élevé,occasionnel,81530,commercial,1,7,59,2,2,1,0
57.0,1.0,0.1836734693877551,0.1818,0.4,0.3860350299753144,10.0,41.0,51.0,élevé,occasionnel,29483,residentiel,5,8,89,2,2,1,1
58.0,1.0,0.2040816326530612,0.2121,0.35,0.3508875044081345,13.0,48.0,61.0,élevé,occasionnel,46283,commercial,1,2,22,9,2,1,0
59.0,1.0,0.2244897959183673,0.2121,0.35,0.333372516750911,8.0,53.0,61.0,élevé,frequent,57425,residentiel,2,2,13,4,2,0,1
60.0,1.0,0.2448979591836735,0.2424,0.3,0.333372516750911,11.0,66.0,77.0,faible,frequent,85299,residentiel,2,4,89,7,0,0,1
61.0,1.0,0.2448979591836735,0.2424,0.3,0.298224991183731,14.0,58.0,72.0,faible,occasionnel,93152,residentiel,4,3,81,1,0,1,1
62.0,1.0,0.2448979591836735,0.2424,0.3,0.298224991183731,9.0,67.0,76.0,élevé,frequent,89194,residentiel,1,4,62,2,2,0,1
63.0,1.0,0.2244897959183673,0.2273,0.3,0.2631950158692841,11.0,146.0,157.0,élevé,occasionnel,81909,residentiel,5,7,28,9,2,1,1
64.0,1.0,0.2244897959183673,0.2576,0.32,0.1228400141060303,9.0,148.0,157.0,faible,frequent,35148,residentiel,4,3,9,6,0,0,1
65.0,1.0,0.1836734693877551,0.2576,0.47,0.0,8.0,102.0,110.0,faible,frequent,45267,residentiel,2,9,36,9,0,0,1
66.0,1.0,0.1836734693877551,0.2273,0.47,0.1228400141060303,3.0,49.0,52.0,élevé,frequent,63726,commercial,1,8,66,6,2,0,0
67.0,1.0,0.163265306122449,0.197,0.64,0.1578699894204772,3.0,49.0,52.0,faible,frequent,46491,residentiel,3,2,11,4,0,0,1
68.0,1.0,0.1224489795918367,0.1515,0.69,0.1578699894204772,0.0,20.0,20.0,faible,occasionnel,83856,residentiel,4,10,75,2,0,1,1
69.0,1.0,0.163265306122449,0.2121,0.55,0.1228400141060303,1.0,11.0,12.0,élevé,frequent,24693,residentiel,3,9,83,3,2,0,1
70.0,1.0,0.1428571428571428,0.2121,0.55,0.1228400141060303,0.0,5.0,5.0,élevé,frequent,24233,commercial,1,2,75,1,2,0,0
71.0,1.0,0.1428571428571428,0.2121,0.59,0.1228400141060303,0.0,2.0,2.0,élevé,frequent,87952,commercial,2,3,36,5,2,0,0
72.0,1.0,0.1224489795918367,0.1515,0.63,0.1578699894204772,0.0,1.0,1.0,élevé,occasionnel,28880,commercial,5,8,77,6,2,1,0
72.0,1.0,0.1224489795918367,0.1818,0.63,0.1053250264488068,0.0,2.0,2.0,élevé,occasionnel,64239,residentiel,1,1,10,2,2,1,1
74.0,1.0,0.1020408163265306,0.1515,0.68,0.1228400141060303,0.0,4.0,4.0,faible,occasionnel,25818,commercial,4,2,99,6,0,1,0
75.0,1.0,0.1020408163265306,0.1515,0.74,0.1228400141060303,0.0,36.0,36.0,faible,occasionnel,66178,commercial,2,2,87,9,0,1,0
76.0,1.0,0.1020408163265306,0.1515,0.74,0.1578699894204772,2.0,92.0,94.0,faible,occasionnel,63176,residentiel,1,2,32,4,0,1,1
77.0,1.0,0.1224489795918367,0.1515,0.69,0.1930175149876572,2.0,177.0,179.0,élevé,occasionnel,22953,commercial,4,6,13,5,2,1,0
78.0,1.0,0.1428571428571428,0.1515,0.64,0.2631950158692841,2.0,98.0,100.0,moyen,occasionnel,67188,commercial,5,1,81,2,1,1,0
79.0,2.0,0.1428571428571428,0.1364,0.69,0.3860350299753144,5.0,37.0,100.0,faible,occasionnel,48516,commercial,2,5,82,5,0,1,0
80.0,1.0,0.2040816326530612,0.2121,0.51,0.3508875044081345,7.0,50.0,57.0,faible,frequent,27492,residentiel,1,7,19,7,0,0,1
81.0,1.0,0.2040816326530612,0.2273,0.51,0.1930175149876572,12.0,66.0,78.0,élevé,frequent,90333,residentiel,2,5,9,1,2,0,1
82.0,1.0,0.2244897959183673,0.2273,0.56,0.2280474903021041,18.0,79.0,97.0,moyen,occasionnel,57627,commercial,2,8,94,8,1,1,0
83.0,1.0,0.2448979591836735,0.2576,0.52,0.2631950158692841,9.0,54.0,63.0,faible,occasionnel,51694,residentiel,4,2,59,3,0,1,1
84.0,1.0,0.2653061224489796,0.2727,0.52,0.298224991183731,17.0,48.0,65.0,moyen,frequent,98863,residentiel,5,1,60,7,1,0,1
85.0,1.0,0.2857142857142857,0.2879,0.49,0.298224991183731,15.0,68.0,83.0,moyen,frequent,45244,residentiel,3,6,43,7,1,0,1
85.0,1.0,0.2653061224489796,0.2727,0.48,0.2631950158692841,10.0,202.0,212.0,faible,occasionnel,84386,residentiel,2,1,32,9,0,1,1
87.0,1.0,0.2448979591836735,0.2576,0.48,0.2280474903021041,3.0,179.0,212.0,élevé,occasionnel,74499,commercial,3,1,24,7,2,1,0
88.0,1.0,0.2244897959183673,0.2576,0.48,0.1228400141060303,2.0,110.0,112.0,moyen,occasionnel,99867,commercial,1,5,45,5,1,1,0
89.0,1.0,0.2244897959183673,0.2576,0.48,0.1228400141060303,1.0,53.0,54.0,élevé,occasionnel,33279,commercial,4,8,49,2,2,1,0
90.0,1.0,0.2040816326530612,0.2727,0.64,0.0,0.0,48.0,48.0,faible,frequent,38206,residentiel,4,4,56,1,0,0,1
91.0,1.0,0.2040816326530612,0.2576,0.64,0.1053250264488068,1.0,34.0,35.0,moyen,frequent,27446,residentiel,5,7,1,8,1,0,1
92.0,1.0,0.1836734693877551,0.2273,0.64,0.1053250264488068,2.0,9.0,11.0,élevé,occasionnel,31210,commercial,4,10,53,10,2,1,0
93.0,1.0,0.1836734693877551,0.2576,0.64,0.0,0.0,6.0,6.0,élevé,frequent,58509,commercial,3,2,43,3,2,0,0
94.0,1.0,0.1428571428571428,0.197,0.74,0.1053250264488068,0.0,6.0,6.0,élevé,occasionnel,23566,residentiel,5,10,98,10,2,1,1
95.0,1.0,0.1428571428571428,0.197,0.74,0.1053250264488068,0.0,2.0,2.0,élevé,occasionnel,80025,commercial,2,9,10,6,2,1,0
96.0,1.0,0.1428571428571428,0.2273,0.48,0.2631950158692841,0.0,2.0,2.0,moyen,frequent,20393,commercial,5,8,21,9,1,0,0
97.0,1.0,0.2040816326530612,0.2273,0.47,0.1930175149876572,0.0,3.0,3.0,faible,frequent,52783,commercial,1,7,16,3,0,0,0
98.0,1.0,0.1836734693877551,0.197,0.47,0.2631950158692841,0.0,33.0,33.0,faible,occasionnel,21595,residentiel,3,1,98,1,0,1,1
99.0,1.0,0.163265306122449,0.1818,0.43,0.2280474903021041,1.0,87.0,88.0,faible,occasionnel,51454,commercial,5,7,78,7,0,1,0
100.0,1.0,0.1836734693877551,0.1818,0.4,0.3508875044081345,3.0,192.0,195.0,faible,occasionnel,77229,commercial,1,2,82,3,0,1,0
101.0,1.0,0.2040816326530612,0.197,0.37,0.3860350299753144,6.0,109.0,115.0,élevé,occasionnel,76144,residentiel,4,9,5,6,2,1,1
102.0,1.0,0.2040816326530612,0.197,0.37,0.3860350299753144,4.0,53.0,57.0,faible,frequent,29450,commercial,4,10,44,8,0,0,0
103.0,1.0,0.2448979591836735,0.2273,0.33,0.3860350299753144,12.0,34.0,46.0,faible,frequent,74627,residentiel,2,8,81,6,0,0,1
104.0,1.0,0.2448979591836735,0.2273,0.33,0.3860350299753144,12.0,74.0,79.0,faible,frequent,35892,residentiel,4,4,22,10,0,0,1
105.0,1.0,0.2653061224489796,0.2576,0.3,0.3508875044081345,6.0,65.0,71.0,élevé,frequent,57089,commercial,3,7,26,1,2,0,0
106.0,1.0,0.2857142857142857,0.2879,0.28,0.2280474903021041,10.0,52.0,62.0,élevé,occasionnel,62398,residentiel,4,7,81,2,2,1,1
107.0,1.0,0.2857142857142857,0.2879,0.28,0.2280474903021041,7.0,55.0,62.0,élevé,frequent,79682,residentiel,3,10,63,2,2,0,1
108.0,1.0,0.2857142857142857,0.3182,0.28,0.1053250264488068,4.0,85.0,89.0,moyen,occasionnel,73714,residentiel,5,3,50,2,1,1,1
109.0,1.0,0.2244897959183673,0.2273,0.38,0.2280474903021041,4.0,186.0,190.0,moyen,frequent,48366,commercial,5,7,100,9,1,0,0
110.0,1.0,0.2244897959183673,0.2424,0.38,0.1578699894204772,3.0,166.0,169.0,faible,occasionnel,72969,residentiel,4,5,6,8,0,1,1
111.0,1.0,0.2244897959183673,0.2576,0.38,0.1228400141060303,5.0,127.0,132.0,moyen,frequent,42870,residentiel,5,8,56,6,1,0,1
112.0,1.0,0.2040816326530612,0.2273,0.47,0.1930175149876572,7.0,82.0,89.0,élevé,frequent,87710,residentiel,3,9,41,2,2,0,1
113.0,1.0,0.1836734693877551,0.197,0.51,0.2280474903021041,3.0,40.0,43.0,faible,frequent,57535,residentiel,1,6,81,4,0,0,1
114.0,1.0,0.163265306122449,0.197,0.55,0.1578699894204772,1.0,41.0,42.0,moyen,occasionnel,72413,commercial,4,8,26,6,1,1,0
115.0,1.0,0.1836734693877551,0.2576,0.47,0.0,1.0,18.0,19.0,élevé,frequent,68747,residentiel,1,1,65,6,2,0,1
116.0,1.0,0.163265306122449,0.2424,0.55,0.0,0.0,11.0,11.0,élevé,frequent,29580,commercial,2,9,18,8,2,0,0
117.0,1.0,0.1428571428571428,0.2273,0.64,0.0,0.0,4.0,4.0,faible,occasionnel,22427,commercial,4,3,52,7,0,1,0
118.0,1.0,0.1428571428571428,0.2273,0.64,0.0,0.0,2.0,2.0,élevé,occasionnel,41291,residentiel,2,9,94,9,2,1,1
119.0,2.0,0.1428571428571428,0.197,0.64,0.1053250264488068,0.0,1.0,1.0,moyen,frequent,62520,commercial,4,4,85,5,1,0,0
120.0,2.0,0.1224489795918367,0.1818,0.69,0.1053250264488068,0.0,4.0,4.0,faible,frequent,95012,residentiel,1,5,46,7,0,0,1
121.0,2.0,0.1224489795918367,0.1667,0.63,0.1228400141060303,0.0,36.0,36.0,faible,occasionnel,71578,commercial,5,7,70,9,0,1,0
122.0,2.0,0.1428571428571428,0.2273,0.63,0.0,0.0,95.0,95.0,moyen,occasionnel,34920,commercial,3,3,28,1,1,1,0
123.0,1.0,0.1428571428571428,0.2273,0.59,0.0,0.0,216.0,219.0,moyen,frequent,52152,commercial,1,1,21,7,1,0,0
124.0,2.0,0.163265306122449,0.2424,0.51,0.0,6.0,116.0,122.0,moyen,occasionnel,80215,residentiel,1,6,10,9,1,1,1
125.0,1.0,0.1836734693877551,0.2576,0.47,0.0,3.0,42.0,45.0,moyen,occasionnel,35300,residentiel,4,10,27,7,1,1,1
126.0,1.0,0.2040816326530612,0.2576,0.44,0.1053250264488068,2.0,57.0,59.0,faible,frequent,32937,commercial,3,10,35,5,0,0,0
127.0,1.0,0.2448979591836735,0.2879,0.35,0.0,6.0,78.0,84.0,élevé,occasionnel,83621,commercial,4,6,5,6,2,1,0
128.0,1.0,0.2448979591836735,0.2727,0.35,0.1228400141060303,12.0,55.0,67.0,moyen,frequent,51500,residentiel,5,9,60,9,1,0,1
129.0,1.0,0.2653061224489796,0.2727,0.36,0.1930175149876572,11.0,59.0,70.0,élevé,occasionnel,70037,commercial,2,7,99,9,2,1,0
130.0,1.0,0.2653061224489796,0.2727,0.36,0.0,8.0,54.0,62.0,faible,occasionnel,61345,commercial,4,6,95,7,0,1,0
131.0,1.0,0.2448979591836735,0.2576,0.38,0.1930175149876572,12.0,74.0,86.0,faible,frequent,73071,residentiel,5,5,78,8,0,0,1
132.0,1.0,0.2040816326530612,0.2273,0.51,0.1930175149876572,9.0,163.0,172.0,moyen,frequent,82284,commercial,1,8,74,2,1,0,0
133.0,1.0,0.2040816326530612,0.2273,0.51,0.1930175149876572,5.0,158.0,163.0,élevé,occasionnel,70046,commercial,5,8,58,4,2,1,0
134.0,1.0,0.2040816326530612,0.2576,0.55,0.1053250264488068,3.0,109.0,112.0,faible,occasionnel,77787,commercial,1,1,11,1,0,1,0
135.0,1.0,0.1836734693877551,0.2121,0.51,0.1930175149876572,3.0,66.0,69.0,élevé,frequent,80101,residentiel,4,9,47,9,2,0,1
136.0,2.0,0.1836734693877551,0.2121,0.55,0.2631950158692841,0.0,48.0,48.0,moyen,occasionnel,97121,residentiel,2,6,19,2,1,1,1
137.0,2.0,0.2040816326530612,0.2121,0.51,0.333372516750911,1.0,51.0,52.0,élevé,occasionnel,38789,commercial,3,10,91,10,2,1,0
138.0,2.0,0.1836734693877551,0.197,0.59,0.2280474903021041,4.0,19.0,23.0,élevé,frequent,44654,residentiel,4,3,91,3,2,0,1
139.0,2.0,0.1836734693877551,0.197,0.64,0.2280474903021041,4.0,13.0,17.0,moyen,occasionnel,74166,residentiel,4,2,5,8,1,1,1
140.0,2.0,0.1836734693877551,0.197,0.69,0.2631950158692841,2.0,5.0,7.0,moyen,occasionnel,51410,residentiel,3,3,91,5,1,1,1
140.0,2.0,0.1836734693877551,0.197,0.69,0.2631950158692841,0.0,1.0,1.0,faible,occasionnel,21065,commercial,5,3,63,5,0,1,0
142.0,2.0,0.1836734693877551,0.2121,0.69,0.1578699894204772,0.0,1.0,1.0,élevé,frequent,60039,residentiel,3,6,12,8,2,0,1
143.0,3.0,0.2040816326530612,0.2727,0.55,0.0,0.0,5.0,5.0,moyen,frequent,97847,commercial,5,8,89,3,1,0,0
144.0,2.0,0.1836734693877551,0.2576,0.69,0.0,8.0,26.0,34.0,moyen,frequent,61534,residentiel,5,8,33,10,1,0,1
145.0,1.0,0.1836734693877551,0.2121,0.69,0.1578699894204772,8.0,76.0,84.0,élevé,occasionnel,41567,commercial,5,6,55,7,2,1,0
146.0,1.0,0.1836734693877551,0.197,0.51,0.298224991183731,20.0,190.0,84.0,faible,frequent,85840,residentiel,5,5,94,2,0,0,1
147.0,1.0,0.1836734693877551,0.1818,0.47,0.3508875044081345,9.0,125.0,134.0,faible,frequent,33115,residentiel,5,10,47,4,0,0,1
148.0,1.0,0.2040816326530612,0.197,0.37,0.3860350299753144,9.0,47.0,63.0,faible,frequent,72126,commercial,3,8,3,4,0,0,0
149.0,2.0,0.1836734693877551,0.197,0.4,0.2631950158692841,19.0,48.0,67.0,élevé,frequent,74669,residentiel,1,3,15,2,2,0,1
150.0,2.0,0.1836734693877551,0.197,0.37,0.298224991183731,9.0,50.0,59.0,moyen,frequent,69307,residentiel,3,7,9,7,1,0,1
151.0,2.0,0.1836734693877551,0.1818,0.37,0.333372516750911,9.0,64.0,73.0,faible,frequent,49309,residentiel,5,9,86,2,0,0,1
152.0,2.0,0.1836734693877551,0.197,0.4,0.298224991183731,7.0,43.0,50.0,moyen,occasionnel,98823,residentiel,1,9,100,10,1,1,1
153.0,2.0,0.1836734693877551,0.2121,0.37,0.1930175149876572,9.0,63.0,72.0,moyen,frequent,79930,residentiel,4,10,57,8,1,0,1
154.0,2.0,0.1836734693877551,0.2121,0.37,0.1930175149876572,5.0,82.0,87.0,faible,occasionnel,54571,residentiel,1,5,32,3,0,1,1
155.0,2.0,0.1836734693877551,0.2576,0.37,0.0,9.0,178.0,187.0,moyen,frequent,83744,residentiel,2,10,11,6,1,0,1
156.0,1.0,0.1836734693877551,0.2273,0.4,0.1053250264488068,7.0,116.0,123.0,moyen,frequent,79105,commercial,1,10,84,8,1,0,0
157.0,1.0,0.1428571428571428,0.197,0.55,0.1053250264488068,3.0,92.0,95.0,élevé,frequent,47677,commercial,3,7,72,8,2,0,0
158.0,1.0,0.163265306122449,0.2121,0.47,0.1228400141060303,1.0,50.0,51.0,faible,frequent,61155,commercial,2,7,99,5,0,0,0
159.0,1.0,0.163265306122449,0.197,0.47,0.1578699894204772,0.0,39.0,39.0,élevé,frequent,88319,residentiel,1,7,96,8,2,0,1
160.0,2.0,0.163265306122449,0.197,0.43,0.1930175149876572,2.0,34.0,36.0,moyen,frequent,80725,commercial,4,8,15,1,1,0,0
161.0,2.0,0.163265306122449,0.197,0.51,0.1930175149876572,1.0,14.0,15.0,moyen,frequent,36171,residentiel,4,1,26,8,1,0,1
162.0,2.0,0.163265306122449,0.197,0.51,0.1930175149876572,1.0,24.0,25.0,élevé,frequent,58406,residentiel,2,5,39,1,2,0,1
163.0,2.0,0.163265306122449,0.2121,0.55,0.1053250264488068,1.0,15.0,16.0,faible,frequent,76233,residentiel,2,8,87,6,0,0,1
164.0,2.0,0.163265306122449,0.2424,0.55,0.0,3.0,13.0,16.0,moyen,occasionnel,98186,commercial,1,9,81,4,1,1,0
165.0,3.0,0.163265306122449,0.197,0.55,0.1930175149876572,0.0,7.0,7.0,faible,frequent,97953,commercial,5,7,80,4,0,0,0
166.0,3.0,0.163265306122449,0.197,0.55,0.1930175149876572,0.0,1.0,1.0,faible,frequent,92644,commercial,1,2,6,6,0,0,0
167.0,2.0,0.1428571428571428,0.1667,0.74,0.1930175149876572,0.0,5.0,5.0,moyen,occasionnel,46310,residentiel,1,9,64,5,1,1,1
168.0,2.0,0.1428571428571428,0.1667,0.74,0.1930175149876572,0.0,2.0,5.0,élevé,occasionnel,78808,commercial,5,6,19,4,2,1,0
169.0,2.0,0.1428571428571428,0.1818,0.74,0.1228400141060303,1.0,8.0,9.0,élevé,occasionnel,57770,residentiel,5,7,11,10,2,1,1
170.0,3.0,0.1428571428571428,0.1818,0.93,0.1228400141060303,0.0,15.0,15.0,moyen,occasionnel,24197,residentiel,5,2,40,1,1,1,1
171.0,3.0,0.1428571428571428,0.1818,0.93,0.1228400141060303,0.0,20.0,20.0,moyen,frequent,71255,residentiel,4,6,15,6,1,0,1
172.0,2.0,0.163265306122449,0.197,0.8,0.1930175149876572,5.0,56.0,61.0,faible,occasionnel,69519,commercial,4,5,64,1,0,1,0
173.0,2.0,0.1836734693877551,0.1818,0.69,0.4562125308569413,2.0,60.0,62.0,faible,occasionnel,69976,residentiel,4,4,75,7,0,1,1
174.0,2.0,0.1836734693877551,0.1818,0.59,0.4210650052897614,8.0,90.0,98.0,faible,occasionnel,99411,commercial,5,8,58,4,0,1,0
175.0,1.0,0.1836734693877551,0.1818,0.44,0.3860350299753144,7.0,95.0,102.0,faible,occasionnel,60568,commercial,1,5,47,5,0,1,0
176.0,1.0,0.1836734693877551,0.1667,0.32,0.5789349947102387,12.0,83.0,95.0,élevé,occasionnel,80773,commercial,5,6,96,7,2,1,0
177.0,1.0,0.1836734693877551,0.1667,0.32,0.5263900317385682,5.0,69.0,74.0,moyen,frequent,25138,residentiel,1,1,39,6,1,0,1
178.0,1.0,0.163265306122449,0.1364,0.29,0.5263900317385682,8.0,68.0,76.0,élevé,occasionnel,94008,commercial,3,2,4,1,2,1,0
179.0,1.0,0.1428571428571428,0.1212,0.37,0.6491124955918656,5.0,64.0,69.0,élevé,frequent,82654,commercial,5,6,70,1,2,0,0
180.0,1.0,0.1224489795918367,0.1212,0.39,0.3508875044081345,3.0,52.0,55.0,moyen,frequent,21127,commercial,1,3,48,5,1,0,0
181.0,1.0,0.1224489795918367,0.1212,0.36,0.298224991183731,4.0,26.0,30.0,moyen,frequent,38125,residentiel,4,4,5,10,1,0,1
